site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/vystanicheski/tristaen/6169095/?sid=gRy1fA&page=1,128000.0,EUR,727.27,Пловдив,Въстанически,продава,тристаен,176.0,6,,"продаваТристаен апартамент,176 м2","Оферта 1-5909, Акт 14. Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни и 3-стайни апартаменти. Предлагаме Ви просторен мансарден...",продава,,13,6169095,2026-02-10 18:23:46.900943,999,bd91603186d0426aef09bc697a3903be
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/vystanicheski/dvustaen/6145141/?sid=gRy1fA&page=1,129000.0,EUR,1632.91,Пловдив,Въстанически,продава,двустаен,79.0,2,,"продаваДвустаен апартамент,79 м2","Оферта 1-6679,  Предлагаме Ви обзаведен апартамент в малка кооперация на тиха улица, в близост до всичко необходимо за градски начин на живот. Бърз достъп до главни пътни артерии и всички точки на...",продава,,17,6145141,2026-02-10 18:23:46.900943,999,9806657d4fa6118dea774c555e5f8523
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/vystanicheski/dvustaen/6166472/?sid=gRy1fA&page=1,129500.0,EUR,1850.0,Пловдив,Въстанически,продава,двустаен,70.0,4,,"продаваДвустаен апартамент,70 м2","Оферта 1-6714, С акт 16. Предлагаме Ви комфортен апартамент в нова луксозна сграда. На тиха улица  с бърз достъп до главни пътни артерии. На близко разстояние от търговска зона в квартала, училище...",продава,,13,6166472,2026-02-10 18:23:46.900943,999,274f5fb63aa15a0f32e16b865409c364
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/kyrshijaka/tristaen/6053639/?sid=gRy1fA&page=1,133463.0,EUR,1283.3,Пловдив,Кършияка,продава,тристаен,104.0,8,,"продаваТристаен апартамент,104 м2","Оферта 1-6494, Промоционална цена. Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни,3-стайни и многостайни апартаменти. Предлагаме Ви...",продава,,1,6053639,2026-02-10 18:23:46.900943,999,237b6e18b6671b94d3f2de036b9e666a
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/belomorski/dvustaen/6044963/?sid=gRy1fA&page=1,68400.0,EUR,924.32,Пловдив,Беломорски,продава,двустаен,74.0,4,,"продаваДвустаен апартамент,74 м2","Оферта 1-6363, Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни и 3-стайни апартаменти. Ниско етажно строителство. Предлагаме Ви...",продава,,1,6044963,2026-02-10 18:23:50.425801,999,5eabbd75415b9694e09393d5e1059ee0
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/ujen/dvustaen/6142984/?sid=gRy1fA&page=1,68900.0,EUR,1148.33,Пловдив,Южен,продава,двустаен,60.0,3,,"продаваДвустаен апартамент,60 м2","Оферта 1-6644, Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни и 3-стайни апартаменти. Ниско етажно строителство. Предлагаме Ви...",продава,,1,6142984,2026-02-10 18:23:50.425801,999,f03d8f816b2f83c72bfe81ba05855a4f
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/vystanicheski/dvustaen/5912866/?sid=gRy1fA&page=1,70300.0,EUR,950.0,Пловдив,Въстанически,продава,двустаен,74.0,7,,"продаваДвустаен апартамент,74 м2","Оферта 1-4320, Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни и 3-стайни апартаменти. Високо етажно строителство. Предлагаме Ви...",продава,,7,5912866,2026-02-10 18:23:50.425801,999,3233b58a3e88807d576e10ac25928474
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/kyrshijaka/dvustaen/6180505/?sid=gRy1fA&page=1,80000.0,EUR,1509.43,Пловдив,Кършияка,продава,двустаен,53.0,,,"продаваДвустаен апартамент,53 м2","Представяме двустаен апартамент в нов комплекс, в кв. ""Кършияка"" на град Пловдив. Отлична локация в близост до река Марица, Гребния канал, УМБАЛ Пловдив - Университетска Многопрофилна болница,...",продава,,14,6180505,2026-02-10 18:23:50.425801,999,7178081362a579d6d9f0234b6a713a06
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/kamenica-2/dvustaen/6152747/?sid=gRy1fA&page=1,80389.0,EUR,1132.24,Пловдив,Каменица 2,продава,двустаен,71.0,10,,"продаваДвустаен апартамент,71 м2","Оферта 1-6090, Промоционална цена. Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни,3-стайни и многостайни апартаменти. Предлагаме Ви...",продава,,1,6152747,2026-02-10 18:23:50.425801,999,7448e94130011e7c95a622733b7f06f7
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/kamenica-2/dvustaen/6152749/?sid=gRy1fA&page=1,80479.0,EUR,1133.51,Пловдив,Каменица 2,продава,двустаен,71.0,10,,"продаваДвустаен апартамент,71 м2","Оферта 1-6090, Промоционална цена. Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни,3-стайни и многостайни апартаменти. Предлагаме Ви...",продава,,1,6152749,2026-02-10 18:23:50.425801,999,2c10ea68fa0c18cd19022e92fe015b2b
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/belomorski/dvustaen/6154641/?sid=gRy1fA&page=1,82000.0,EUR,1344.26,Пловдив,Беломорски,продава,двустаен,61.0,3,,"продаваДвустаен апартамент,61 м2","ОФЕРТА 10528ДВУСТАЕН АПАРТАМЕНТ! С АКТ 14!Жилището, което ви предлагаме е изключително функционално и се състои от хол с кухня, спалня, входно антре, баня с тоалетна, склад и...",продава,,8,6154641,2026-02-10 18:23:50.425801,999,df810797f806cb0f8b7d32f5a07d4dfb
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/smirnenski/tristaen/6206812/?sid=gRy1fA&page=1,83500.0,EUR,1143.84,Пловдив,Христо Смирненски,продава,тристаен,73.0,1,,"продаваТристаен апартамент,73 м2","оферта 1-6434. Без комисионно възнаграждение от купувача. Цени на инвеститор. Нисък процент общи части. Ограничен избор на етаж, изложение и големина на 2-стайни, 3-стайни и многостайни...",продава,,1,6206812,2026-02-10 18:23:50.425801,999,513cf2c6c8416eedc97862e76afec0cb
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/belomorski/dvustaen/6164007/?sid=gRy1fA&page=1,85000.0,EUR,1197.18,Пловдив,Беломорски,продава,двустаен,71.0,3,,"продаваДвустаен апартамент,71 м2","Оферта 1-6666, Акт 14. Без комисионно възнаграждение от купувача. Цени на инвеститор. Ограничен избор на етаж, изложение и големина на 2-стайни, 3-стайни и 4-стайни апартаменти. Ниско етажно...",продава,,8,6164007,2026-02-10 18:23:50.425801,999,11a710cbf8a89e7e5d9a3e24576c2621
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/vystanicheski/dvustaen/6101169/?sid=gRy1fA&page=1,85800.0,EUR,1300.0,Пловдив,Въстанически,продава,двустаен,66.0,2,,"продаваДвустаен апартамент,66 м2","Оферта 1-4800, Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни и 3-стайни апартаменти. Предлагаме Ви компактен апартамент в...",продава,,4,6101169,2026-02-10 18:23:50.425801,999,fec15e4cd2dab745cc64203d7a8569a7
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/kyrshijaka/dvustaen/6053638/?sid=gRy1fA&page=1,85824.0,EUR,1300.36,Пловдив,Кършияка,продава,двустаен,66.0,8,,"продаваДвустаен апартамент,66 м2","Оферта 1-6494, Промоционална цена. Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни,3-стайни и многостайни апартаменти. Предлагаме Ви...",продава,,1,6053638,2026-02-10 18:23:50.425801,999,fec15e4cd2dab745cc64203d7a8569a7
